feature,shap_value,abs_shap_value,direction,base_value,prediction
num__Humidity3pm,1.9493212,1.9493212,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__WindGustSpeed,-0.696705,0.696705,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Cloud3pm,-0.4529336,0.4529336,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Pressure3pm,-0.375007,0.375007,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Rainfall,-0.3186557,0.3186557,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Temp9am,-0.28748986,0.28748986,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Humidity9am,-0.10229053,0.10229053,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__HumidityIndex,0.08693424,0.08693424,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__PressureDifference,0.07658822,0.07658822,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__DayOfYear,0.072120264,0.072120264,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__TemperatureDifference,0.063185334,0.063185334,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Melbourne,0.053110003,0.053110003,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__MaxTemp,0.052566122,0.052566122,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__WindSpeed9am,0.045390755,0.045390755,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__Temp3pm,0.03689141,0.03689141,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__AverageTemperature,0.027791418,0.027791418,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__Pressure9am,0.026164325,0.026164325,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__MinTemp,-0.024723679,0.024723679,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__WindSpeed3pm,-0.022101145,0.022101145,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_MountGinini,0.021270508,0.021270508,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Season_Winter,-0.019185875,0.019185875,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Evaporation,0.017571716,0.017571716,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Wollongong,0.017058596,0.017058596,Increases rain probability,-1.2762953042984009,-0.6797680697950701
num__Cloud9am,-0.013988314,0.013988314,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Williamtown,-0.012842996,0.012842996,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Brisbane,-0.012674218,0.012674218,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Perth,-0.012364098,0.012364098,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Witchcliffe,-0.011439528,0.011439528,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Adelaide,-0.011049109,0.011049109,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
num__Sunshine,0.0107235685,0.0107235685,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindGustDir_W,0.009359721,0.009359721,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir3pm_NW,-0.009176272,0.009176272,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir9am_SSE,0.008497093,0.008497093,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir3pm_WNW,-0.008486983,0.008486983,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Hobart,0.008311846,0.008311846,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Penrith,-0.007986107,0.007986107,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir9am_N,-0.0076446654,0.0076446654,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir9am_S,0.0064657796,0.0064657796,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Albury,-0.0060819895,0.0060819895,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir9am_NNE,-0.0053939666,0.0053939666,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Sale,0.0053732553,0.0053732553,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_NorahHead,0.0049394355,0.0049394355,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Tuggeranong,-0.0047865584,0.0047865584,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Ballarat,0.004193178,0.004193178,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_PerthAirport,-0.004062576,0.004062576,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir3pm_NNW,-0.0040267943,0.0040267943,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir9am_W,0.0039950567,0.0039950567,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_PearceRAAF,-0.0039598867,0.0039598867,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Richmond,-0.0036260574,0.0036260574,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Townsville,0.0035960206,0.0035960206,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Sydney,-0.0034856803,0.0034856803,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir3pm_SSE,0.0032278707,0.0032278707,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_WaggaWagga,-0.003226715,0.003226715,Decreases rain probability,-1.2762953042984009,-0.6797680697950701
cat__Location_Darwin,0.003216221,0.003216221,Increases rain probability,-1.2762953042984009,-0.6797680697950701
cat__WindDir3pm_SSW,0.0030367223,0.0030367223,Increases rain probability,-1.2762953042984009,-0.6797680697950701
